
2023/11/25 (17:56:20) | ===> btop++ v.1.2.13
2023/11/25 (17:56:20) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/25 (19:20:21) | ===> btop++ v.1.2.13
2023/11/25 (19:20:21) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/25 (20:34:15) | ===> btop++ v.1.2.13
2023/11/25 (20:34:15) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/25 (20:34:19) | ===> btop++ v.1.2.13
2023/11/25 (20:34:19) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/11/26 (21:09:59) | ===> btop++ v.1.2.13
2023/11/26 (21:09:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/26 (21:37:24) | ===> btop++ v.1.2.13
2023/11/26 (21:37:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/26 (21:55:37) | ===> btop++ v.1.2.13
2023/11/26 (21:55:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/26 (23:00:13) | ===> btop++ v.1.2.13
2023/11/26 (23:00:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/26 (23:13:26) | ===> btop++ v.1.2.13
2023/11/26 (23:13:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (00:10:41) | ===> btop++ v.1.2.13
2023/11/27 (00:10:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (00:31:50) | ===> btop++ v.1.2.13
2023/11/27 (00:31:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (02:27:32) | ===> btop++ v.1.2.13
2023/11/27 (02:27:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (02:28:10) | ===> btop++ v.1.2.13
2023/11/27 (02:28:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (02:53:40) | ===> btop++ v.1.2.13
2023/11/27 (02:53:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (14:25:38) | ===> btop++ v.1.2.13
2023/11/27 (14:25:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (14:25:56) | ===> btop++ v.1.2.13
2023/11/27 (14:25:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (14:47:08) | ===> btop++ v.1.2.13
2023/11/27 (14:47:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (14:50:31) | ===> btop++ v.1.2.13
2023/11/27 (14:50:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (15:13:12) | ===> btop++ v.1.2.13
2023/11/27 (15:13:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (15:18:25) | ===> btop++ v.1.2.13
2023/11/27 (15:18:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (15:40:43) | ===> btop++ v.1.2.13
2023/11/27 (15:40:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (15:42:17) | ===> btop++ v.1.2.13
2023/11/27 (15:42:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (15:42:20) | ===> btop++ v.1.2.13
2023/11/27 (15:42:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (20:45:31) | ===> btop++ v.1.2.13
2023/11/27 (20:45:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/29 (01:58:58) | ===> btop++ v.1.2.13
2023/11/29 (01:58:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/30 (15:26:13) | ===> btop++ v.1.2.13
2023/11/30 (15:26:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/03 (22:47:11) | ===> btop++ v.1.2.13
2023/12/03 (22:47:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/09 (00:32:09) | ===> btop++ v.1.2.13
2023/12/09 (00:32:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/10 (15:18:29) | ===> btop++ v.1.2.13
2023/12/10 (15:18:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/10 (15:33:34) | ===> btop++ v.1.2.13
2023/12/10 (15:33:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/10 (15:37:27) | ===> btop++ v.1.2.13
2023/12/10 (15:37:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/12 (18:33:42) | ===> btop++ v.1.2.13
2023/12/12 (18:33:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
